bin_id,name,Avg. NLL,Ensemble Diversity (NLL),Ensemble NLL,Ensemble Accuracy,Total Variance,num_params,ensemble_hyperparameters,ens_size,type,binning,seed,dataset,Num. Params
0,efficientnet-b4-autoaug--efficientnet-b5--efficientnet-b5-autoaug--nasnetalarge,1.2919315796428854,0.1298905433960002,1.1620410332594886,0.7462,0.0405756249963504,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b4-autoaug', 'efficientnet-b5', 'efficientnet-b5-autoaug', 'nasnetalarge']}",4,het,6,75470,imagenetv2mf,168874358.0
0,FixPNASNet--efficientnet-b3-autoaug--efficientnet-b6-autoaug--senet154,1.3212813488522803,0.20054220422173,1.1207391415507473,0.7503,0.0615066419735335,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['FixPNASNet', 'efficientnet-b3-autoaug', 'efficientnet-b6-autoaug', 'senet154']}",4,het,6,75470,imagenetv2mf,256420612.0
0,efficientnet-b3-autoaug--efficientnet-b6-autoaug--nasnetalarge--senet154,1.3374754882658422,0.1791391597148829,1.15833632668003,0.7439,0.0525737909797357,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b3-autoaug', 'efficientnet-b6-autoaug', 'nasnetalarge', 'senet154']}",4,het,6,75470,imagenetv2mf,259116094.0
0,efficientnet-b4--efficientnet-b5--efficientnet-b5-randaug--nasnetalarge,1.3222860654840545,0.1444158925441419,1.17787016984659,0.7428,0.0457900581639532,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b4', 'efficientnet-b5', 'efficientnet-b5-randaug', 'nasnetalarge']}",4,het,6,75470,imagenetv2mf,168874358.0
1,resnet50-vtab--resnext101_64x4d--shufflenet_v2_x0_5--deepens_resnet101,1.9152443316451075,0.811425737712376,1.1038185912099483,0.7349,0.1883096012029313,,"{'model_scores': [6, 7, 5, 6], 'model_names': ['resnet50-vtab', 'resnext101_64x4d', 'shufflenet_v2_x0_5', 'deepens_resnet101']}",4,het,6,75470,imagenetv2mf,154966034.0
1,mnasnet1_0--resnet50-vtab--resnext101_64x4d--deepens_alexnet,2.052849152479289,0.7795204139449037,1.2733287348770284,0.7001,0.1804613525747702,,"{'model_scores': [6, 6, 7, 4], 'model_names': ['mnasnet1_0', 'resnet50-vtab', 'resnext101_64x4d', 'deepens_alexnet']}",4,het,6,75470,imagenetv2mf,174534234.0
1,FixResNet50--inceptionv4--mnasnet1_0--resnext101_64x4d,1.5603769361261344,0.3114076205088699,1.2489693147990146,0.7046,0.0848488950105244,,"{'model_scores': [7, 7, 6, 7], 'model_names': ['FixResNet50', 'inceptionv4', 'mnasnet1_0', 'resnext101_64x4d']}",4,het,6,75470,imagenetv2mf,156075456.0
1,inceptionv4--mnasnet1_0--resnet101--resnet50-vtab,1.6229680222522689,0.2905021930258803,1.3324658277168808,0.6899,0.0804622154131082,,"{'model_scores': [7, 6, 6, 6], 'model_names': ['inceptionv4', 'mnasnet1_0', 'resnet101', 'resnet50-vtab']}",4,het,6,75470,imagenetv2mf,117207098.0
1,densenet169--inceptionv4--resnet50-vtab--deepens_resnet50,1.5998001220721825,0.6438618610280795,0.95593825840963,0.7512,0.1578941298506508,,"{'model_scores': [6, 7, 6, 6], 'model_names': ['densenet169', 'inceptionv4', 'resnet50-vtab', 'deepens_resnet50']}",4,het,6,75470,imagenetv2mf,107981138.0
1,FixResNet50--inceptionv4--resnet50-vtab--resnext101_64x4d,1.5241630235674206,0.2842323448929775,1.2399306763466809,0.7052,0.0761068889849965,,"{'model_scores': [7, 7, 6, 7], 'model_names': ['FixResNet50', 'inceptionv4', 'resnet50-vtab', 'resnext101_64x4d']}",4,het,6,75470,imagenetv2mf,177286930.0
